framework,framework_version,system,model,attn_tp,moe_tp,ep,num_slots,gemm_quant,moe_quant,attn_quant,kv_quant,phase,batch_size,new_tokens,past_kv,layer_type,layer_index,measured_layer_count,layer_multiplier,latency_ms,rms_latency_ms,rms_kernel_count,includes_moe,moe_weight_mode,latency_source,physical_gpus,max_num_seqs,max_num_batched_tokens,vllm_config_hash
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,0,dense,0,64,64,7.894786999713688,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,0,dense,0,64,64,7.500130750486278,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,0,dense,0,64,64,7.795221750711789,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,0,dense,0,64,64,18.915850500889064,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,0,dense,0,64,64,32.28967475115496,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,16,dense,0,64,64,7.677760749174922,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,16,dense,0,64,64,7.360694249655353,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,16,dense,0,64,64,7.791623749653809,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,16,dense,0,64,64,19.024027249542996,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,16,dense,0,64,64,32.24423475057847,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,128,dense,0,64,64,8.185001499441569,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,128,dense,0,64,64,7.544343499830575,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,128,dense,0,64,64,7.977612500326359,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,128,dense,0,64,64,18.91972350040305,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,128,dense,0,64,64,32.152250249055214,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,256,dense,0,64,64,9.363580249555525,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,256,dense,0,64,64,7.702505749875854,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,256,dense,0,64,64,7.8626539989272715,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,256,dense,0,64,64,18.976043250404473,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,256,dense,0,64,64,32.41342050023377,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,512,dense,0,64,64,18.105262249264342,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,512,dense,0,64,64,7.559188999948674,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,512,dense,0,64,64,7.8975287497087265,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,512,dense,0,64,64,18.925651499557716,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
